Player,Team,Position,Age,Market value,Contract expires,Minutes played,Passport country,Foot,Height,Weight,On loan,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,PAdj Interceptions,Fouls per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %","Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
A. Lacazette,Arsenal,CF,29,35000000,2022-06-30,791,"France, Guadeloupe",right,176,77,no,5.23,54.35,5.01,43.18,0.32,4.58,2.16,0.47,1.82,62.5,25,25,1.48,69.23,4.32,0.23,13.77,0.46,19.68,80.92,3.19,67.86,5.12,5.8,18.77,0.46,13.57,0.04,0.68,1.14,80,1.02,88.89,1.37,0.11,1.82,68.75
C. Nkunku,RB Leipzig,"LAMF, RAMF, RWF",23,33000000,2024-06-30,658,"France, Congo DR",right,175,73,no,4.51,54.55,3.42,40,0.21,4.93,1.91,0.26,2.05,46.67,13.333,57.89,4.92,44.44,3.15,1.78,25.17,1.09,32.69,85.77,8.34,72.13,8.07,9.3,29.54,0.68,15.06,0.34,2.87,3.01,72.73,3.69,77.78,1.91,1.5,5.47,87.5
H. Lozano,Napoli,"RAMF, RW, RWF",25,33000000,2024-06-30,904,Mexico,right,177,70,no,5.58,62.5,1.39,42.86,0,5.86,1.49,0.44,2.59,57.69,23.077,27.45,7.07,69.01,4.68,3.29,19.12,2.19,25.88,73.85,3.78,71.05,8.96,6.47,20.51,0.5,19.15,0.1,0.9,0.9,44.44,3.88,53.85,0.9,1.29,3.19,87.5
A. Saint-Maximin,Newcastle United,"LW, CF, AMF",23,32000000,2026-06-30,612,"France, Guadeloupe",right,173,67,no,2.94,70,0.29,0,0.14,0.84,0.44,0.17,1.03,57.14,14.286,36.36,9.12,53.23,2.06,5.44,14.41,1.32,22.94,82.05,4.85,66.67,6.76,7.65,21.03,0.29,16.55,0.17,0.88,2.65,94.44,1.76,33.33,0.88,0.44,3.09,85.71
F. Thauvin,Olympique Marseille,"RAMF, RW, CF",27,32000000,2021-06-30,1158,France,left,179,70,no,3.89,62,1.17,46.67,0.32,2.37,0.93,0.42,2.02,38.46,23.077,31.43,7.23,52.69,2.72,2.02,25.88,1.94,34.04,75.34,8.55,76.36,7.93,9.72,28.83,2.64,17.17,0.34,1.94,3.65,80.85,3.73,43.75,1.32,0.85,5.6,83.33
Á. Di María,PSG,"CF, RWF, LWF",32,32000000,2021-06-30,895,"Argentina, Italy",left,180,75,no,3.32,39.39,0.2,100,0.6,2.99,0.4,0.22,2.72,33.33,11.111,31.25,6.13,36.07,2.51,4.42,41.83,1.41,48.07,77.82,12.67,69.05,11.16,14.98,39.32,3.92,18.04,0.45,2.61,4.73,82.98,8.35,49.4,2.82,1.61,7.34,87.67
A. Rebić,Milan,"CF, LAMF",27,32000000,2025-06-30,746,Croatia,right,185,78,no,3.74,54.84,3.38,39.29,0.49,3.3,1.33,0.35,1.93,43.75,6.25,36,5.43,55.56,4.34,1.33,14.12,1.21,20.03,65.06,4.46,62.16,3.98,5.43,16.77,0.36,16.88,0.24,0.97,1.21,50,2.29,68.42,1.45,1.09,3.14,73.08
A. Kramarić,Hoffenheim,"CF, AMF",29,32000000,2022-06-30,847,Croatia,right,177,73,no,1.38,46.15,0.96,33.33,0.38,2.16,0.11,0.63,3.19,53.33,26.667,25,4.68,50,4.57,2.66,26.46,2.23,33.79,78.93,7.97,64,9.99,9.35,29.75,1.81,17.56,0.09,0.85,2.55,62.5,3.61,35.29,1.17,0.43,4.04,71.05
Iñaki Williams,Athletic Bilbao,"CF, RAMF",26,30000000,2028-06-30,1187,"Spain, Ghana",right,186,80,no,2.96,64.1,4.85,40.63,0,2.69,0.53,0.32,1.82,25,12.5,30,4.32,49.12,4.32,2.27,13.27,1.97,19.49,68.48,3.18,57.14,5.23,6.52,16.07,0.45,16.64,0.1,0.99,1.06,85.71,2.58,35.29,0.76,1.06,2.05,66.67
J. David,Lille,CF,20,30000000,2025-06-30,981,"USA, Canada",right,177,70,no,3.49,52.63,3.76,24.39,0.12,1.97,1.01,0.32,2.02,59.09,9.091,33.33,2.75,53.33,3.76,1.93,16.24,1.56,20.09,82.65,2.84,70.97,6.61,5.78,19.45,0.18,14.68,0.1,1.47,1.56,70.59,0.73,75,1.19,0.18,1.38,80
J. Correa,Lazio,CF,26,30000000,2024-06-30,815,"Argentina, Italy",right,188,77,no,3.31,60,1.33,50,0,1.51,0.88,0.15,1.66,46.67,6.667,0,5.41,53.06,3.2,2.43,29.26,1.44,35.12,84.28,6.4,68.97,9.28,10.82,33.46,1.1,15.23,0.14,1.44,2.76,80,1.66,46.67,1.1,0,2.43,81.82
Gerard Moreno,Villarreal,"CF, RWF",28,30000000,2023-06-30,1203,Spain,left,180,77,no,2.77,32.43,4.86,44.62,0.1,3.01,1.8,0.49,2.92,51.28,20.513,38.71,4.94,60.61,4.34,2.09,25.36,2.47,34.94,70.45,9.58,56.25,7.33,11.82,29.78,2.84,18.21,0.22,1.35,4.19,50,4.11,49.09,1.65,0.82,5.24,71.43
T. Kubo,Villarreal,"RW, RWF, LW",19,30000000,2024-06-30,347,Japan,left,173,67,yes,5.45,71.43,0.78,33.33,0.44,2.65,0.78,0.25,1.56,83.33,0,30,8.04,58.06,4.41,3.63,27.49,0.78,34.24,75.76,6.74,65.38,9.86,11.67,30.61,1.04,16.12,0.27,1.82,4.15,68.75,3.37,38.46,2.07,0.78,5.71,77.27
G. Reyna,Borussia Dortmund,"LAMF, LWF, AMF",18,30000000,,940,"USA, Portugal",right,185,79,no,4.4,56.52,2.11,22.73,0.15,2.84,1.05,0.16,2.01,42.86,14.286,42.86,7.18,60,4.31,2.59,36.38,1.91,45.19,84.32,8.52,68.54,13.12,13.21,42.51,0.86,15.19,0.19,1.34,3.45,80.56,3.45,63.89,1.63,0.67,4.5,80.85
O. Watkins,Aston Villa,CF,24,30000000,2025-06-30,1267,England,right,180,70,no,3.13,50,7.67,33.33,0.21,1.92,0.71,0.59,2.49,40,17.143,31.25,3.76,66.04,5.04,1.99,11.08,2.2,16.12,76.21,2.7,68.42,3.98,4.4,14.78,0.36,12.96,0.08,0.71,0.78,72.73,1.35,63.16,0.92,0.43,0.71,90
W. Weghorst,Wolfsburg,CF,28,30000000,2023-06-30,1167,Netherlands,right,197,84,no,1.47,47.37,5.4,58.57,0.2,1.94,0.39,0.63,2.47,68.75,28.125,0,1.08,21.43,4.32,0.62,13.26,3.08,21.52,74.91,3.93,52.94,5.09,6.4,20.67,0.77,14.29,0.12,1.08,2.7,60,0.77,40,1,0.08,2.01,76.92
S. Haller,West Ham United,CF,26,30000000,2024-06-30,879,Côte d'Ivoire,right,190,86,no,5.53,44.44,12.18,41.18,0.77,1.44,1.95,0.38,1.84,50,16.667,50,1.43,21.43,3.28,0.41,9.83,1.13,16.79,75.61,3.58,62.86,3.58,4.4,15.15,1.23,15.81,0.18,0.61,1.84,72.22,0.82,75,0.82,0.1,1.95,52.63
L. Bailey,Bayer Leverkusen,"RWF, RW",23,29500000,2023-06-30,899,Jamaica,left,178,77,no,4.1,53.66,1.7,47.06,0,3.21,1.1,0.25,2.6,42.31,15.385,39.02,7.81,46.15,3.7,2.9,21.92,2.5,32.64,74.85,4.81,66.67,10.61,10.61,27.13,1.6,18.84,0.24,1.5,2,65,4.4,47.73,1.4,1.6,4.51,68.89
K. Volland,Monaco,"CF, AMF, RWF",28,28000000,2024-06-30,1091,Germany,left,179,83,no,4.54,54.55,4.21,25.49,0.65,2.07,2.14,0.4,1.48,77.78,33.333,9.09,2.06,52,4.12,0.25,15.51,1.48,21.78,72.35,5.77,64.29,6.19,5.61,19.72,1.24,15.98,0.12,0.82,2.23,62.96,1.81,36.36,1.24,0.08,2.64,65.63
Rafael Leão,Milan,"LAMF, CF, RAMF",21,28000000,2024-06-30,708,"Portugal, Angola",right,188,81,no,2.42,63.16,6.23,28.57,0.67,1.68,1.4,0.21,1.4,45.45,27.273,35,5.72,64.44,3.43,2.67,13.47,1.78,20.97,77.58,4.32,73.53,4.96,7.37,17.8,0.76,18,0.25,1.14,1.78,78.57,2.8,68.18,1.27,0.64,3.18,80
André Silva,Eintracht Frankfurt,CF,25,28000000,2023-06-30,1045,Portugal,right,184,74,no,2.07,50,4.56,41.51,0.23,1.86,0.6,0.75,3.53,43.9,21.951,33.33,3.01,45.71,4.82,1.12,15.76,2.15,22.91,78.95,4.13,75,6.2,5.94,21.79,0.43,14.98,0.21,0.86,2.33,70.37,0.78,77.78,1.12,0.17,1.55,94.44
S. Bergwijn,Tottenham Hotspur,"LW, RAMF, LAMF",23,28000000,2025-06-30,620,"Netherlands, Suriname",right,178,78,no,6.53,62.79,1.06,57.14,0.32,1.77,1.52,0.11,0.91,16.67,0,0,3.04,30,1.52,1.06,18.21,1.67,25.65,82.25,5.16,52.94,6.68,6.98,23.22,1.67,14.28,0,0.15,1.67,54.55,1.37,22.22,0.61,0,1.52,40
H. Barnes,Leicester City,"LW, LAMF, AMF",23,28000000,2024-06-30,1070,England,right,174,66,no,3.79,62.22,3.36,32.5,0.11,2.7,0.67,0.29,2.1,52,16,20,5.97,54.93,3.45,4.12,16.99,1.01,25.23,78.33,4.96,66.1,7.4,7.57,23.13,0.93,16.32,0.03,0.5,1.85,81.82,2.19,57.69,1.26,0.17,3.53,80.95
J. Bowen,West Ham United,"RW, RAMF, RWF",24,28000000,2025-06-30,1233,"England, Wales",left,175,70,no,3.5,39.58,2.04,42.86,0.37,2.38,0.44,0.3,2.41,18.18,12.121,25,4.23,58.62,3.87,2.34,15.69,1.02,23.65,75.93,4.16,59.65,4.96,9.12,18.54,2.63,21.01,0.14,0.8,1.24,70.59,2.55,45.71,0.8,0.73,2.7,59.46
Pedro Neto,Wolverhampton Wanderers,"RWF, LAMF, LCMF3",20,27000000,2025-06-30,1265,Portugal,left,172,62,no,4.14,42.59,1.23,12.5,0.38,2.74,0.92,0.19,2.07,40.74,14.815,37.1,7.81,54.9,2.99,4.14,23.36,2.3,33.4,85.55,3.68,79.17,13.25,9.19,28.19,0.77,18.2,0.21,1.53,1.69,86.36,2.99,51.28,0.77,1.61,3.45,86.67
A. Iwobi,Everton,"RW, RAMF, LWF",24,25500000,2024-06-30,846,England,right,180,75,no,4.36,60.98,0.43,25,0,4.52,0.74,0.02,0.53,20,0,25.93,6.81,70.31,2.45,4.04,27.66,1.6,40,73.14,10.32,58.76,8.62,14.68,31.28,3.19,20.18,0.18,0.85,3.4,62.5,4.57,39.53,1.28,1.6,7.45,68.57
Pablo Sarabia,PSG,"RWF, CF",28,25000000,2024-06-30,700,Spain,left,174,70,no,5.01,58.97,0.9,28.57,0.45,4.7,0.64,0.29,2.31,50,11.111,56,2.44,47.37,5.66,1.29,33.69,2.7,38.44,84.62,9.39,72.6,10.41,10.16,33.56,1.93,15.96,0.37,1.93,3.86,83.33,4.5,68.57,2.83,1.67,6.43,92
José Campaña,Levante,"LW, LCMF, RW",27,25000000,2023-06-30,797,Spain,right,179,74,no,6.1,62.96,1.47,15.38,0.5,4.86,0.79,0.16,1.58,35.71,7.143,40,4.18,43.24,1.24,2.82,37.38,2.26,51.15,81.9,16.49,76.71,6.32,18.07,45.73,3.27,17.78,0.15,1.24,7.57,83.58,4.52,62.5,2.6,1.02,10.39,78.26
Paco Alcácer,Villarreal,CF,27,25000000,2025-06-30,728,Spain,right,175,70,no,1.61,61.54,3.21,23.08,0.38,2.12,0.49,0.54,2.1,52.94,29.412,0,0.87,14.29,4.33,0.25,9.52,0.74,14.46,68.38,2.1,35.29,3.83,4.57,13.35,0.87,15.11,0.07,0.74,0.49,50,0.87,28.57,0.87,0.12,0.49,25
Y. Carrasco,Atlético Madrid,"LW, LB5, LWB",27,25000000,2024-06-30,533,"Belgium, Spain",right,185,73,no,6.59,48.72,0.17,0,0,4.32,1.35,0.36,2.36,57.14,14.286,35.71,8.11,56.25,3.21,4.9,28.37,1.86,37.49,88.74,7.09,88.1,10.98,10.13,33.77,1.35,15.28,0.24,2.2,2.03,75,3.21,57.89,1.35,1.01,2.53,93.33
J. Reine-Adélaïde,Nice,"LW, LWF, RCMF",22,25000000,2024-06-30,657,"France, Martinique",right,184,75,yes,3.29,70.83,2.19,37.5,0.37,2.24,0.55,0.13,1.1,50,12.5,40,8.63,53.97,2.47,3.56,33.84,0.96,42.05,84.04,8.77,64.06,9.04,16.3,37.81,3.01,18.37,0.2,1.51,5.89,65.12,2.33,58.82,1.51,0.55,4.38,90.63
R. Cherki,Olympique Lyonnais II,"RW, RWF, CF",17,25000000,2023-06-30,384,"France, Algeria",right,176,70,no,5.39,39.13,0.94,0,0,3.33,1.41,0.17,2.34,30,0,50,11.25,58.33,3.75,4.22,24.38,0.47,33.05,81.56,6.56,57.14,8.67,11.02,31.41,1.17,17.39,0.12,0.7,2.34,70,3.05,38.46,2.11,0.23,3.98,70.59
M. Kean,PSG,CF,20,25000000,2024-06-30,808,"Italy, Côte d'Ivoire",right,182,67,yes,2.45,50,1.89,58.82,0.18,1.43,1.45,0.64,2.67,41.67,29.167,28.57,3.56,53.13,4.79,1.23,8.91,0.45,13.81,76.61,1,55.56,5.57,3.12,12.92,0.22,14.16,0.02,0.22,0.78,85.71,0.89,50,0.89,0.11,1,66.67
S. Chukwueze,Villarreal,"RW, RWF",21,25000000,2023-06-30,654,Nigeria,left,172,70,no,5.37,64.1,1.93,42.86,0,2.94,0.69,0.21,1.51,9.09,9.091,30,8.39,60.66,3.44,4.82,23.39,2.34,30.69,78.92,6.06,61.36,8.53,10.46,28.07,1.24,15.55,0.13,1.51,1.65,66.67,3.44,56,2.61,0.41,5.92,65.12
K. Benzema,Real Madrid,CF,33,25000000,2022-06-30,1222,"France, Algeria",both,185,81,no,1.55,52.38,2.73,32.43,0,2.38,0.52,0.55,3.46,36.17,17.021,33.33,3.39,73.91,5.82,2.14,27.77,1.4,34.47,84.83,7.36,77,9.94,8.47,32.7,0.88,13.81,0.13,0.81,3.17,81.4,1.91,46.15,1.69,0.29,2.8,65.79
Y. Poulsen,RB Leipzig,"CF, AMF",26,25000000,2024-06-30,658,"Denmark, Tanzania",right,192,84,no,4.24,51.61,5.06,64.86,0.38,3.44,1.23,0.4,2.87,42.86,19.048,0,2.33,52.94,4.92,0.96,16.69,2.74,22.98,79.17,5.2,76.32,6.43,5.61,22.43,0.27,14.37,0.15,1.09,2.05,60,1.5,54.55,1.09,0,2.46,55.56
P. Schick,Bayer Leverkusen,CF,24,25000000,2025-06-30,576,Czech Republic,left,187,73,no,2.81,61.11,10.31,37.88,0.71,1.65,0.94,0.29,1.88,58.33,33.333,0,1.88,58.33,2.34,0.16,10,1.88,14.22,78.02,2.5,56.25,4.38,3.91,13.91,0.31,13.34,0.07,0.78,0.47,33.33,0.16,0,0.63,0,0.47,33.33
Lucas Moura,Tottenham Hotspur,"RAMF, RW, LAMF",28,25000000,2024-06-30,498,Brazil,right,172,72,no,6.51,47.22,5.24,48.28,0.25,4.32,2.17,0.15,0.9,60,20,14.29,3.61,60,2.17,1.99,20.42,1.63,30.36,73.21,5.6,51.61,10.12,8.31,28.19,0.9,14.79,0.01,0.18,1.99,36.36,1.81,40,0.54,0.18,3.25,66.67
D. McNeil,Burnley,LW,21,25000000,2024-06-30,1238,England,left,183,68,no,7.12,55.1,1.45,40,0.24,4.05,0.36,0.07,0.65,11.11,0,40,4.73,50.77,0.58,2.04,20.65,0.95,30.75,80.38,6.83,65.96,8.43,11.56,23.99,3.05,21.12,0.19,1.16,3.56,69.39,3.49,47.92,0.58,1.38,4.73,75.38
J. Boga,Sassuolo,"LAMF, LW, AMF",23,25000000,2022-06-30,689,"France, Côte d'Ivoire",right,172,68,no,3.79,31.03,0.52,25,0,2.04,0.52,0.11,1.31,30,10,33.33,11.1,49.41,2.48,4.18,25.6,0.65,33.96,88.85,4.7,69.44,10.84,9.54,32.53,0.26,13.76,0.04,0.52,1.83,78.57,1.44,63.64,0.91,0.39,2.35,61.11
Daniel Podence,Wolverhampton Wanderers,"LWF, CF, AMF",25,25000000,2024-06-30,1137,Portugal,right,165,58,no,4.04,53.19,1.55,33.33,0,2.21,0.43,0.3,1.98,47.83,13.043,42.11,5.25,50.82,3.18,2.5,21.34,1.63,30.29,78.69,6.88,72.5,6.88,10.33,25.81,2.84,17.78,0.13,1.2,3.18,72.97,2.58,46.67,1.2,0.69,4.56,83.02
Fábio Silva,Wolverhampton Wanderers,CF,18,25000000,2025-06-30,465,Portugal,right,185,75,no,2.88,50,6.72,28.57,0,1.38,0.96,0.52,2.16,33.33,11.111,0,1.44,50,3.12,0.48,12.72,0.96,16.32,77.94,3.36,57.14,5.04,4.08,15.36,0.72,19.46,0.05,0.72,1.2,60,0.24,100,0.48,0,0.72,66.67
Willian José,Real Sociedad,CF,29,24000000,2024-06-30,671,"Brazil, Spain",right,189,91,no,1.88,78.57,3.76,35.71,0.43,1.73,0.4,0.48,1.61,75,25,33.33,1.48,63.64,2.68,0.27,15.56,1.21,26.83,81.5,4.16,70.97,6.3,10.6,23.2,2.82,16.83,0.04,0.54,2.55,84.21,1.61,41.67,0.8,0.27,3.22,79.17
R. Loftus-Cheek,Fulham,"RW, AMF, CF",24,24000000,2024-06-30,710,England,right,191,88,yes,4.18,60.61,5.58,22.73,0.59,3.22,1.52,0.07,0.76,50,16.667,20,3.55,50,1.14,1.39,19.01,0.89,30.68,85.12,6.34,76,7.99,8.62,29.41,0.63,14.54,0.05,0.25,4.06,75,1.39,54.55,0.76,0.13,3.04,79.17
D. Berardi,Sassuolo,"RAMF, RW",26,24000000,2024-06-30,1239,Italy,left,183,72,no,7.26,52,1.45,45,0.11,4.77,1.16,0.39,2.83,48.72,17.949,47.83,3.85,75.47,2.47,2.98,33.05,2.11,41.91,80.59,8.72,61.67,9.44,16.2,36.83,3.49,18.48,0.16,1.74,3.56,63.27,5.67,65.38,2.98,0.8,7.92,78.9
N. Nández,Cagliari,"RW, RCMF3, RAMF",24,23000000,2024-06-30,985,"Uruguay, Italy",right,172,70,no,9.23,60.4,3.2,51.43,0.63,2.64,1.28,0.03,0.91,70,10,33.33,5.21,50.88,1.92,2.38,23.03,0.46,30.88,79.59,9.23,66.34,5.85,9.87,25.86,2.47,17.7,0.04,0.73,3.29,72.22,2.74,66.67,1.19,0.91,4.66,72.55
K. Dolberg,Nice,CF,23,23000000,2024-06-30,684,Denmark,right,187,84,no,2.24,47.06,0.92,28.57,0.18,1.98,0.79,0.37,1.71,69.23,23.077,0,2.37,61.11,2.11,0.13,9.61,1.05,11.32,81.4,1.58,50,4.61,2.89,11.05,0.26,14.76,0.03,0.39,1.45,45.45,0.13,100,0.26,0,0.53,50
C. Wilson,Newcastle United,CF,28,22500000,2024-06-30,1130,England,right,180,66,no,2.55,53.13,5.18,33.85,0,1.53,1.51,0.64,1.83,47.83,34.783,22.22,2.07,53.85,3.35,1.51,7.57,1.83,11.87,69.8,2.87,66.67,2.87,3.03,11.07,0.08,15.97,0.09,0.72,0.8,70,0.72,55.56,0.56,0.16,1.27,56.25
A. Isak,Real Sociedad,CF,21,22000000,2024-06-30,777,"Sweden, Eritrea",right,192,77,no,1.62,42.86,4.4,31.58,0.19,1.86,1.04,0.51,2.78,50,12.5,20,2.2,42.11,4.52,1.39,10.42,1.39,15.87,78.83,3.36,65.52,4.52,4.4,15.29,0.23,15.61,0.02,0.23,1.27,45.45,1.04,66.67,1.04,0,0.93,75
A. Ramsey,Juventus,"LW, RW, AMF",29,22000000,2023-06-30,483,Wales,right,178,76,no,5.78,58.06,1.68,33.33,0.62,5.88,1.12,0.04,0.56,33.33,0,27.27,2.98,50,4.84,1.12,47.7,3.17,58.32,84.98,16.58,74.16,14.35,16.96,53.11,3.35,16.4,0.15,1.86,7.64,78.05,4.29,47.83,2.61,0.56,8.2,72.73
W. McKennie,Juventus,"RW, LCMF, RCMF",22,22000000,2024-06-30,627,USA,right,178,75,yes,7.32,45.1,3.16,50,0.91,5.45,2.44,0.28,1.29,55.56,11.111,40,1.44,50,3.73,0.43,30,1.44,39.33,86.86,7.32,82.35,8.33,14.21,36.32,2.3,15.68,0.11,0.86,3.01,66.67,2.01,57.14,1.58,0.29,4.02,78.57
L. Muriel,Atalanta,CF,29,22000000,2024-06-30,394,Colombia,right,179,79,no,4.57,45,3.65,37.5,0.28,1.67,1.6,0.83,5.03,40.91,31.818,10,7.54,48.48,7.08,2.28,26.73,3.2,35.18,79.22,6.17,77.78,9.37,12.79,30.61,2.28,16.44,0.1,1.14,3.2,85.71,3.65,62.5,2.51,0.23,3.65,81.25
R. Orsolini,Bologna,"RW, RAMF",23,22000000,2022-06-30,594,Italy,left,183,73,no,5.45,50,3.03,35,0.39,3.92,0.76,0.44,2.88,31.58,10.526,28.57,5,57.58,3.48,2.88,24.85,2.88,32.12,75,8.03,58.49,7.12,9.7,28.03,3.03,16.29,0.2,1.52,2.88,68.42,2.27,60,1.36,0.3,6.06,65
M. Politano,Napoli,"RAMF, RW, AMF",27,22000000,2023-06-30,536,Italy,left,171,65,yes,5.21,61.29,0.84,40,0.22,3.09,0.5,0.23,3.02,33.33,16.667,31.25,6.04,66.67,2.52,4.53,28.88,1.01,37.11,80.09,8.4,76,10.58,11.42,32.41,2.01,17.22,0.37,2.69,2.18,69.23,4.37,50,1.68,1.01,5.04,73.33
A. Mitrović,Fulham,CF,26,22000000,2024-06-30,864,Serbia,right,189,90,no,1.67,68.75,9.79,46.81,0.15,2.14,1.35,0.61,3.54,29.41,5.882,50,1.88,50,4.69,0.63,10.21,1.67,16.98,82.21,2.71,65.38,4.79,4.48,15.83,0.94,14.59,0.11,0.94,1.46,64.29,0.73,42.86,0.52,0.21,1.46,64.29
N. Maupay,Brighton & Hove Albion,"CF, AMF, LWF",24,22000000,2023-06-30,1074,"France, Argentina",right,171,69,no,2.93,54.29,2.51,20,0.12,1.59,0.92,0.7,2.68,43.75,15.625,50,1.76,52.38,4.69,1.09,14.66,1.26,20.61,82.11,4.27,72.55,6.7,4.36,19.78,0.34,15.9,0.11,0.67,1.17,64.29,1.34,62.5,1.34,0.08,1.68,70
K. Piątek,Hertha BSC,CF,25,21500000,2025-06-30,673,Poland,right,183,77,no,5.62,33.33,5.88,36.36,0.18,2.73,3.08,0.19,1.6,41.67,25,100,1.2,33.33,2.67,0.67,10.97,2.14,17.38,77.69,2.54,42.11,5.88,5.35,16.05,1.2,12.95,0.03,0.27,1.74,38.46,0.53,50,0.27,0.13,1.34,50
R. Malinovskiy,Atalanta,"RWF, CF, AMF",27,21000000,2024-06-30,607,Ukraine,left,181,79,no,4.15,46.43,1.93,53.85,0.54,0.54,1.63,0.37,3.56,25,4.167,11.11,9.64,64.62,2.97,2.52,32.92,1.19,42.85,76.82,9.04,68.85,5.63,20.91,35.29,4.89,20.78,0.37,2.08,5.78,76.92,4.3,51.72,2.22,0.44,7.86,86.79
Sergio Canales,Real Betis,"LAMF, LDMF, AMF",29,20000000,2023-06-30,830,Spain,left,176,65,no,2.49,56.52,1.19,27.27,0.31,2.47,0.54,0.07,1.19,27.27,9.091,40,2.06,68.42,2.17,1.73,43.16,0.98,54.43,86.06,12.58,74.14,11.39,20.71,48.04,4.66,18.58,0.2,2.28,4.88,73.33,3.69,58.82,1.52,0.65,4.99,89.13
E. Bardhi,Levante,"LW, RW",25,20000000,2022-06-30,608,North Macedonia,right,169,64,no,6.37,48.84,2.22,13.33,0.7,5.86,1.92,0.32,2.81,52.63,0,22.22,4.59,48.39,3.26,1.63,29.01,1.48,41.3,75.63,16.43,64.86,5.92,12.29,34.79,4.59,18.65,0.06,0.89,5.63,65.79,4.74,46.88,2.22,0.74,7.11,75
Suso,Sevilla,"RWF, RAMF",27,20000000,2025-06-30,531,Spain,left,177,70,no,5.25,45.16,0.34,100,0,1.63,1.02,0.09,2.37,21.43,7.143,40.91,6.95,65.85,2.88,2.54,38.81,0.85,48.98,86.51,12.54,79.73,11.36,18.64,40.51,4.75,19.48,0.18,1.02,6.27,75.68,4.41,57.69,1.86,1.53,6.44,92.11
J. Bamba,Lille,LW,24,20000000,2023-06-30,1535,"France, Côte d'Ivoire",right,175,70,no,5.57,60,1.35,34.78,0.22,3.46,0.7,0.16,1.64,42.86,17.857,33.33,5.39,56.52,1.52,2.4,34.01,1.88,44.74,84.67,10.91,74.19,10.08,14.72,40.75,2.23,17.25,0.15,1.41,4.46,76.32,3.99,54.41,1.76,0.59,6.1,80.77
Gelson Martins,Monaco,"LW, LAMF, RWF",25,20000000,2024-06-30,1216,"Cape Verde Islands, Portugal",right,173,74,no,6.96,60.64,1.7,17.39,1.4,4.32,1.26,0.18,1.48,40,10,23.33,8.59,53.45,4.14,2.29,25.16,2.37,34.05,83.26,6.96,71.28,9.99,9.84,31.23,0.67,14.97,0.17,0.96,2.44,78.79,2.37,43.75,1.11,0.44,3.4,93.48
J. Doku,Rennes,"RW, LW, RWF",18,20000000,2025-06-30,811,"Belgium, Ghana",right,171,67,no,6.66,73.33,0.78,28.57,0.16,3.1,1.55,0.12,1.33,16.67,0,30.3,8.66,66.67,2.33,4.22,27.52,1,37.4,80.42,8.99,70.37,9.43,11.54,33.4,0.44,16.43,0.11,1.33,3.11,82.14,4.77,51.16,1.55,0.89,5.88,90.57
A. Sørloth,RB Leipzig,CF,25,20000000,2025-06-30,564,Norway,left,194,90,no,3.51,63.64,10.37,61.54,0.23,2.71,1.6,0.31,1.91,25,0,40,2.07,38.46,4.31,0.96,16.76,3.35,21.22,77.44,2.87,72.22,6.22,7.18,19.15,0.64,15.1,0.12,1.28,2.23,64.29,1.6,50,1.12,0.48,1.44,66.67
L. Alario,Bayer Leverkusen,CF,28,20000000,2022-06-30,617,"Argentina, Italy",right,184,79,no,1.6,63.64,8.31,31.58,0.22,2.83,1.31,0.55,2.63,61.11,44.444,0,0.88,16.67,3.65,0.15,13.13,1.75,18.23,78.4,3.5,54.17,6.13,3.65,17.07,1.02,15.4,0,0.29,1.6,63.64,0.73,20,0.44,0,1.9,46.15
Kang-In Lee,Valencia,"CF, AMF, RW",19,20000000,2022-06-30,473,Korea Republic,left,173,61,no,5.14,55.56,1.9,10,0.26,1.3,0.57,0.06,1.14,16.67,0,33.33,2.09,54.55,0.95,1.14,19.6,0.57,29.3,87.66,4.95,76.92,7.99,10.47,25.88,2.85,15.82,0.22,2.28,3.23,76.47,1.9,70,0.57,0.19,3.62,84.21
Marc Cucurella,Getafe,LW,22,20000000,2024-06-30,1350,Spain,left,172,66,no,7.93,59.66,4.67,37.14,0.09,6.31,1.6,0.05,0.87,38.46,7.692,34.92,3.53,60.38,1.87,1.07,18.47,3.2,29.87,72.99,8.33,67.2,5.13,10,23.6,2.4,20.85,0.14,1,3.07,63.04,3.27,48.98,0.53,1.27,5.4,75.31
D. Ings,Southampton,CF,28,20000000,2022-06-30,949,England,right,178,73,no,3.89,43.9,3.13,18.18,0.3,4.85,0.85,0.38,2.09,54.55,27.273,25,3.79,55,3.6,0.57,14.04,1.71,20.39,66.05,6.26,43.94,4.36,4.46,18.3,1.42,14.63,0.09,0.95,1.33,14.29,2.28,41.67,1.23,0.19,1.9,80
